n_requests,slo_violation_rate,p50_ms,p99_ms,mean_cost,total_cost,hedge_rate,trial,policy
91124,0.044741231728194546,552.9620150336996,5961.364546907134,8.29680846809414e-05,7.560383748466104,0.0,6,oracle_per_window
91124,0.08118607611606163,970.301185036078,6223.456979030743,4.244218550455514e-05,3.8675017119170825,0.0,6,lp_mix
91124,0.049844168385935646,899.6048079570755,4656.5231209388,4.940206975341313e-05,4.5017142042100176,0.40792765901409067,6,smart_hedge
71473,0.14041666083695942,935.6229800032452,5851.78334698545,1.5465879919688343e-05,1.105392835499885,0.0,7,cheapest_fixed
71473,0.06486365480671023,694.8436920065433,5921.502970973961,7.537758059405941e-05,5.387461817799208,0.0,7,fastest_fixed
71473,0.21117065185454648,1168.6585820280015,6854.734796006232,0.00010068117479095609,7.195985605834005,0.0,7,round_robin
71473,0.05996670071215704,525.8236828958616,5981.246042996645,8.878085430952281e-05,6.3454340000645235,0.0,7,oracle_per_window
71473,0.07825332643095995,917.3609210411088,6027.4022069061175,4.510809355910389e-05,3.2240107709498322,0.0,7,lp_mix
71473,0.04615729016551705,869.796502054669,4702.740027015061,5.153564495525075e-05,3.683407151886637,0.4552768178193164,7,smart_hedge
83493,0.1313283748338184,965.8406699309126,5923.7670950824395,1.5465879919688343e-05,1.2912927121345388,0.0,8,cheapest_fixed
83489,0.04926397489489633,808.878781972453,5630.121388006955,7.537758059405941e-05,6.293198826217426,0.0,8,fastest_fixed
