timestamp,request_id,policy,selected_provider,actual_provider,ttft_ms,e2e_ms,status,slo_violated,cost_usd,cost_is_estimated,hedge_triggered,hedge_provider,hedge_winner,prompt_tokens,completion_tokens,error_message
1775841800.4041858,probe_Chutes,_probing,Chutes,Chutes,-1.0,-1.0,HTTP 429,False,0.0002,True,False,,,0,0,Provider returned error
1775841802.9013557,probe_Friendli,_probing,Friendli,Friendli,-1.0,-1.0,HTTP 429,False,0.0002,True,False,,,0,0,Provider returned error
1775841803.5153134,probe_Google,_probing,Google,Google,284.08749296795577,509.8317599622533,success,False,1.04544e-05,False,False,,,16,8,
1775841804.5291364,probe_Novita,_probing,Novita,Novita,1006.6558809485286,1192.6870909519494,success,False,6.0192e-06,False,False,,,16,8,
1775841806.225348,probe_Parasail,_probing,Parasail,Parasail,1067.3525989986956,1207.8604790149257,success,False,6.336e-06,False,False,,,16,8,
1775841807.9357867,probe_SiliconF,_probing,SiliconFlow,SiliconFlow,1788.4116739733145,2100.502540008165,success,False,5.5836e-06,False,False,,,16,7,
1775841810.5402522,probe_Together,_probing,Together,Together,1309.36923797708,1364.8029549513012,success,False,7.92e-06,False,False,,,16,8,
1775841812.4094398,probe_WandB,_probing,WandB,WandB,301.074301940389,422.9589339811355,success,False,2.376e-06,False,False,,,16,8,
1775841839.5169175,ce403e8d,sort_throughput,__or_sort__:throughput,Google,737.2005300130695,3720.3212620224804,success,False,0.000226512,False,False,,,16,256,
1775841839.5262036,06a50d88,lp_mix,Alibaba,Alibaba,738.6934689711779,4027.703045052476,success,False,0.0001539252,False,False,,,16,256,
1775841839.5145245,4f398e0a,openrouter_auto,,Google,1288.1278099957854,4135.56129205972,success,False,0.0002574,False,False,,,16,256,
1775841839.5268652,3342c888,smart_hedge,Alibaba,Alibaba,1030.5445194244385,4341.094255447388,success,False,0.0001539252,False,False,Novita,primary,16,256,
1775841839.5201635,e15a3d2a,sort_latency,__or_sort__:latency,WandB,461.80508902762085,5115.525456960313,success,False,2.6928e-05,False,False,,,16,256,
1775841839.5269394,7b46ba78,cheapest_fixed,WandB,WandB,412.32987691182643,5414.262884994969,success,False,2.6928e-05,False,False,,,16,256,
1775841839.5146453,bf158125,sort_price,__or_sort__:price,DeepInfra,992.7714149234816,19118.784504942596,success,False,2.646864e-05,False,False,,,16,256,
1775841858.3498335,probe_Alibaba,_probing,Alibaba,Alibaba,639.3525609746575,766.8636440066621,success,False,6.51222e-06,False,False,,,16,7,
1775841859.6209188,probe_AtlasClo,_probing,AtlasCloud,AtlasCloud,817.8627809975296,890.9619600744918,success,False,9.2664e-06,False,False,,,16,7,
1775841861.013382,probe_Chutes,_probing,Chutes,Chutes,1729.540714994073,2613.8756630243734,success,False,6.93e-06,False,False,,,16,9,
1775841864.1291645,probe_Friendli,_probing,Friendli,Friendli,-1.0,-1.0,HTTP 429,False,0.0002,True,False,,,0,0,Provider returned error
1775841864.7757015,probe_Google,_probing,Google,Google,434.12475602235645,1140.32747305464,success,False,1.04544e-05,False,False,,,16,8,
1775841866.4176998,probe_Novita,_probing,Novita,Novita,1063.3792590815574,1302.349754027091,success,False,6.0192e-06,False,False,,,16,8,
1775841868.2242422,probe_Parasail,_probing,Parasail,Parasail,606.1230370542035,867.1619980596006,success,False,6.336e-06,False,False,,,16,8,
1775841869.5932627,probe_SiliconF,_probing,SiliconFlow,SiliconFlow,1373.136362992227,1857.4516100343317,success,False,5.5836e-06,False,False,,,16,7,
1775841871.955029,probe_Together,_probing,Together,Together,572.6609439589083,734.6832839539275,success,False,7.92e-06,False,False,,,16,8,
1775841873.1940641,probe_WandB,_probing,WandB,WandB,271.5527939144522,497.57152097299695,success,False,2.376e-06,False,False,,,16,8,
1775841886.5230296,696cc92e,cheapest_fixed,WandB,WandB,359.7722229314968,1268.9807889983058,success,False,7.425e-06,False,False,,,25,50,
1775841886.521679,2d98ccf3,smart_hedge,Alibaba,Alibaba,678.8086891174316,1372.8456497192383,success,False,3.3301125e-05,False,False,Novita,primary,25,50,
1775841886.5205421,2414dc32,lp_mix,Google,Google,684.651238960214,1426.4741769293323,success,False,4.9005e-05,False,False,,,25,50,
1775841886.5076787,537a2a7a,sort_latency,__or_sort__:latency,Friendli,326.9370059715584,1479.3174299411476,success,False,4.455e-05,False,False,,,25,50,
1775841886.5076046,70365364,sort_throughput,__or_sort__:throughput,Google,462.28870598133653,1815.5638739699498,success,False,4.9005e-05,False,False,,,25,50,
1775841886.5075355,286bae84,sort_price,__or_sort__:price,DeepInfra,583.6259650532156,3415.1735070627183,success,False,6.70725e-06,False,False,,,25,50,
1775841887.4622452,596b4775,openrouter_auto,,Google,774.6874870499596,3864.9770279880613,success,False,0.0002278188,False,False,,,22,256,
1775841887.4655685,cc568a93,lp_mix,Alibaba,Alibaba,939.2262970795855,4158.687735092826,success,False,0.00015481323,False,False,,,22,256,
