created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760724405, harvard_openai, 10, 25, 1, 0, 1107
1760724408, harvard_openai, 10, 25, 1, 0, 851
1760724409, harvard_openai, 100, 25, 1, 0, 466
1760724411, harvard_openai, 100, 25, 1, 0, 2410
1760724767, harvard_openai, 10, 25, 1, 0, 355
1760724769, harvard_openai, 10, 25, 1, 0, 453
1760724770, harvard_openai, 100, 25, 1, 0, 1130
1760724773, harvard_openai, 100, 25, 1, 0, 4144
1760725132, harvard_openai, 10, 25, 1, 0, 689
1760725135, harvard_openai, 10, 25, 1, 0, 507
1760725135, harvard_openai, 100, 25, 1, 0, 1563
1760725139, harvard_openai, 100, 25, 1, 0, 571
1760725493, harvard_openai, 10, 25, 1, 0, 436
1760725496, harvard_openai, 10, 25, 1, 0, 493
1760725496, harvard_openai, 100, 25, 1, 0, 654
1760725499, harvard_openai, 100, 25, 1, 0, 670
1760725854, harvard_openai, 10, 25, 1, 0, 477
1760725857, harvard_openai, 10, 25, 1, 0, 496
1760725857, harvard_openai, 100, 25, 1, 0, 734
1760725860, harvard_openai, 100, 25, 1, 0, 765
1760726214, harvard_openai, 10, 25, 1, 0, 588
1760726216, harvard_openai, 10, 25, 1, 0, 2531
1760726219, harvard_openai, 100, 25, 1, 0, 745
1760726222, harvard_openai, 100, 25, 1, 0, 594
1760726577, harvard_openai, 10, 25, 1, 0, 533
1760726579, harvard_openai, 10, 25, 1, 0, 528
1760726580, harvard_openai, 100, 25, 1, 0, 647
1760726583, harvard_openai, 100, 25, 1, 0, 668
1760726935, harvard_openai, 10, 25, 1, 0, 1239
1760726938, harvard_openai, 10, 25, 1, 0, 1446
1760726940, harvard_openai, 100, 25, 1, 0, 741
1760726942, harvard_openai, 100, 25, 1, 0, 664
1760727294, harvard_openai, 10, 25, 1, 0, 601
1760727297, harvard_openai, 10, 25, 1, 0, 520
1760727297, harvard_openai, 100, 25, 1, 0, 375
1760727299, harvard_openai, 100, 25, 1, 0, 557
1760727659, harvard_openai, 10, 25, 1, 0, 467
1760727661, harvard_openai, 10, 25, 1, 0, 646
1760727662, harvard_openai, 100, 25, 1, 0, 592
1760727664, harvard_openai, 100, 25, 1, 0, 563
1760728020, harvard_openai, 10, 25, 1, 0, 523
1760728022, harvard_openai, 10, 25, 1, 0, 541
1760728023, harvard_openai, 100, 25, 1, 0, 536
1760728025, harvard_openai, 100, 25, 1, 0, 491
1760728380, harvard_openai, 10, 25, 1, 0, 637
1760728382, harvard_openai, 10, 25, 1, 0, 661
1760728383, harvard_openai, 100, 25, 1, 0, 772
1760728386, harvard_openai, 100, 25, 1, 0, 1662
1760728740, harvard_openai, 10, 25, 1, 0, 605
1760728742, harvard_openai, 10, 25, 1, 0, 614
1760728743, harvard_openai, 100, 25, 1, 0, 716
1760728746, harvard_openai, 100, 25, 1, 0, 777
1760729097, harvard_openai, 10, 25, 1, 0, 714
1760729100, harvard_openai, 10, 25, 1, 0, 3128
1760729103, harvard_openai, 100, 25, 1, 0, 505
1760729105, harvard_openai, 100, 25, 1, 0, 524
1760729461, harvard_openai, 10, 25, 1, 0, 426
1760729463, harvard_openai, 10, 25, 1, 0, 537
1760729464, harvard_openai, 100, 25, 1, 0, 863
1760729467, harvard_openai, 100, 25, 1, 0, 785
1760729822, harvard_openai, 10, 25, 1, 0, 1068
1760729825, harvard_openai, 10, 25, 1, 0, 1328
1760729826, harvard_openai, 100, 25, 1, 0, 729
1760729829, harvard_openai, 100, 25, 1, 0, 1142
1760730182, harvard_openai, 10, 25, 1, 0, 709
1760730185, harvard_openai, 10, 25, 1, 0, 439
1760730186, harvard_openai, 100, 25, 1, 0, 707
1760730188, harvard_openai, 100, 25, 1, 0, 542
1760730543, harvard_openai, 10, 25, 1, 0, 314
1760730545, harvard_openai, 10, 25, 1, 0, 388
1760730546, harvard_openai, 100, 25, 1, 0, 357
1760730548, harvard_openai, 100, 25, 1, 0, 519
1760730940, harvard_openai, 10, 25, 1, 0, 627
1760730942, harvard_openai, 10, 25, 1, 0, 808
1760730943, harvard_openai, 100, 25, 1, 0, 483
1760730946, harvard_openai, 100, 25, 1, 0, 751
1760731300, harvard_openai, 10, 25, 1, 0, 770
1760731303, harvard_openai, 10, 25, 1, 0, 700
1760731303, harvard_openai, 100, 25, 1, 0, 676
1760731306, harvard_openai, 100, 25, 1, 0, 545
1760731658, harvard_openai, 10, 25, 1, 0, 409
1760731661, harvard_openai, 10, 25, 1, 0, 452
1760731661, harvard_openai, 100, 25, 1, 0, 405
1760731664, harvard_openai, 100, 25, 1, 0, 4760
1760732022, harvard_openai, 10, 25, 1, 0, 441
1760732025, harvard_openai, 10, 25, 1, 0, 379
1760732025, harvard_openai, 100, 25, 1, 0, 481
1760732028, harvard_openai, 100, 25, 1, 0, 529
1760732384, harvard_openai, 10, 25, 1, 0, 2702
1760732388, harvard_openai, 10, 25, 1, 0, 366
1760732389, harvard_openai, 100, 25, 1, 0, 555
1760732391, harvard_openai, 100, 25, 1, 0, 454
1760732741, harvard_openai, 10, 25, 1, 0, 542
1760732744, harvard_openai, 10, 25, 1, 0, 1075
1760732745, harvard_openai, 100, 25, 1, 0, 353
1760732747, harvard_openai, 100, 25, 1, 0, 470
1760733098, harvard_openai, 10, 25, 1, 0, 862
1760733101, harvard_openai, 10, 25, 1, 0, 3234
1760733104, harvard_openai, 100, 25, 1, 0, 354
1760733106, harvard_openai, 100, 25, 1, 0, 930
1760733462, harvard_openai, 10, 25, 1, 0, 535
1760733465, harvard_openai, 10, 25, 1, 0, 567
1760733466, harvard_openai, 100, 25, 1, 0, 939
1760733469, harvard_openai, 100, 25, 1, 0, 486
1760733822, harvard_openai, 10, 25, 1, 0, 454
1760733825, harvard_openai, 10, 25, 1, 0, 560
1760733825, harvard_openai, 100, 25, 1, 0, 818
1760733828, harvard_openai, 100, 25, 1, 0, 408
1760734182, harvard_openai, 10, 25, 1, 0, 473
1760734184, harvard_openai, 10, 25, 1, 0, 1114
1760734185, harvard_openai, 100, 25, 1, 0, 373
1760734188, harvard_openai, 100, 25, 1, 0, 616
1760734543, harvard_openai, 10, 25, 1, 0, 474
1760734545, harvard_openai, 10, 25, 1, 0, 499
1760734546, harvard_openai, 100, 25, 1, 0, 440
1760734548, harvard_openai, 100, 25, 1, 0, 634
1760734728, harvard_openai, 10, 25, 1, 0, 552
1760734731, harvard_openai, 10, 25, 1, 0, 397
1760734731, harvard_openai, 100, 25, 1, 0, 530
1760734734, harvard_openai, 100, 25, 1, 0, 364
1760735985, harvard_openai, 10, 25, 1, 0, 458
1760735987, harvard_openai, 10, 25, 1, 0, 344
1760735987, harvard_openai, 100, 25, 1, 0, 685
1760735990, harvard_openai, 100, 25, 1, 0, 352
1760737243, harvard_openai, 10, 25, 1, 0, 412
1760737245, harvard_openai, 10, 25, 1, 0, 562
1760737246, harvard_openai, 100, 25, 1, 0, 372
1760737248, harvard_openai, 100, 25, 1, 0, 622
1760738504, harvard_openai, 10, 25, 1, 0, 392
1760738506, harvard_openai, 10, 25, 1, 0, 528
1760738507, harvard_openai, 100, 25, 1, 0, 532
1760738509, harvard_openai, 100, 25, 1, 0, 571
1760739764, harvard_openai, 10, 25, 1, 0, 625
1760739767, harvard_openai, 10, 25, 1, 0, 474
1760739768, harvard_openai, 100, 25, 1, 0, 569
1760739770, harvard_openai, 100, 25, 1, 0, 825
1760740147, harvard_openai, 10, 25, 1, 0, 596
1760740149, harvard_openai, 10, 25, 1, 0, 467
1760740150, harvard_openai, 100, 25, 1, 0, 538
1760740152, harvard_openai, 100, 25, 1, 0, 451
1760743806, harvard_openai, 10, 25, 1, 0, 664
1760743809, harvard_openai, 10, 25, 1, 0, 402
1760743809, harvard_openai, 100, 25, 1, 0, 837
1760743812, harvard_openai, 100, 25, 2, 0, 599
1760747465, harvard_openai, 10, 25, 1, 0, 596
1760747468, harvard_openai, 10, 25, 1, 0, 605
1760747469, harvard_openai, 100, 25, 1, 0, 377
1760747471, harvard_openai, 100, 25, 1, 0, 462
1760751125, harvard_openai, 10, 25, 1, 0, 466
1760751127, harvard_openai, 10, 25, 1, 0, 497
1760751127, harvard_openai, 100, 25, 1, 0, 522
1760751130, harvard_openai, 100, 25, 1, 0, 429
1760754780, harvard_openai, 10, 25, 1, 0, 403
1760754782, harvard_openai, 10, 25, 1, 0, 423
1760754782, harvard_openai, 100, 25, 1, 0, 339
1760754785, harvard_openai, 100, 25, 1, 0, 533
1760758435, harvard_openai, 10, 25, 1, 0, 615
1760758437, harvard_openai, 10, 25, 1, 0, 585
1760758438, harvard_openai, 100, 25, 1, 0, 353
1760758440, harvard_openai, 100, 25, 1, 0, 474
1760762089, harvard_openai, 10, 25, 1, 0, 483
1760762091, harvard_openai, 10, 25, 1, 0, 479
1760762092, harvard_openai, 100, 25, 1, 0, 480
1760762094, harvard_openai, 100, 25, 1, 0, 367
1760765743, harvard_openai, 10, 25, 1, 0, 319
1760765746, harvard_openai, 10, 25, 1, 0, 622
1760765746, harvard_openai, 100, 25, 1, 0, 421
1760765749, harvard_openai, 100, 25, 1, 0, 334
1760769398, harvard_openai, 10, 25, 1, 0, 566
