created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760717214, meta, 100, 28, 2, 0, 283
1760717216, meta, 100, 28, 2, 0, 349
1760717216, meta, 1000, 889, 3, 0, 387
1760717219, meta, 1000, 889, 3, 0, 376
1760717219, meta, 3000, 2714, 3, 0, 448
1760717222, meta, 3000, 2714, 3, 0, 413
1760717222, meta, 10000, 9975, 11, 0, 958
1760717225, meta, 10000, 9975, 12, 0, 891
1760717226, meta, 30000, 30796, 11, 0, 2273
1760717230, meta, 30000, 30796, 12, 0, 2239
1760717232, meta, 100000, 105903, 10, 0, 9181
1760717244, meta, 100000, 105903, 249, 0, 13148
1760717461, meta, 10, 28, 2, 0, 348
1760717463, meta, 10, 28, 2, 0, 351
1760717464, meta, 100, 28, 2, 0, 265
1760717466, meta, 100, 28, 2, 0, 331
1760717466, meta, 1000, 889, 3, 0, 285
1760717469, meta, 1000, 889, 3, 0, 279
1760717469, meta, 3000, 2714, 3, 0, 467
1760717471, meta, 3000, 2714, 3, 0, 419
1760717472, meta, 10000, 9975, 11, 0, 999
1760717475, meta, 10000, 9975, 11, 0, 625
1760717475, meta, 30000, 30796, 12, 0, 2281
1760717480, meta, 30000, 30796, 45, 0, 1511
1760717481, meta, 100000, 105904, 305, 0, 14065
1760717497, meta, 100000, 105904, 619, 0, 12036
1760717681, meta, 10, 28, 2, 0, 369
1760717683, meta, 10, 28, 2, 0, 324
1760717683, meta, 100, 28, 2, 0, 368
1760717686, meta, 100, 28, 2, 0, 305
1760717686, meta, 1000, 889, 3, 0, 375
1760717688, meta, 1000, 889, 3, 0, 343
1760717689, meta, 3000, 2714, 3, 0, 458
1760717691, meta, 3000, 2714, 3, 0, 410
1760717692, meta, 10000, 9975, 11, 0, 1008
1760717695, meta, 10000, 9975, 11, 0, 903
1760717695, meta, 30000, 30796, 11, 0, 2317
1760717700, meta, 30000, 30796, 11, 0, 2280
1760717702, meta, 100000, 105903, 9, 0, 9056
1760717713, meta, 100000, 105903, 11, 0, 2388
1760717886, meta, 10, 28, 2, 0, 291
1760717889, meta, 10, 28, 2, 0, 273
1760717889, meta, 100, 28, 2, 0, 356
1760717891, meta, 100, 28, 2, 0, 275
1760717891, meta, 1000, 889, 3, 0, 373
1760717894, meta, 1000, 889, 3, 0, 305
1760717894, meta, 3000, 2714, 3, 0, 459
1760717897, meta, 3000, 2714, 3, 0, 440
1760717897, meta, 10000, 9975, 11, 0, 982
1760717900, meta, 10000, 9975, 11, 0, 659
1760717901, meta, 30000, 30796, 12, 0, 2308
1760717905, meta, 30000, 30796, 11, 0, 2234
1760717907, meta, 100000, 105901, 9, 0, 9247
1760717918, meta, 100000, 105901, 12, 0, 2165
1760718105, meta, 10, 28, 2, 0, 348
1760718108, meta, 10, 28, 2, 0, 277
1760718108, meta, 100, 28, 2, 0, 360
1760718110, meta, 100, 28, 2, 0, 337
1760718111, meta, 1000, 889, 2, 0, 366
1760718113, meta, 1000, 889, 2, 0, 409
1760718113, meta, 3000, 2714, 3, 0, 372
1760718116, meta, 3000, 2714, 3, 0, 423
1760718116, meta, 10000, 9975, 11, 0, 977
1760718119, meta, 10000, 9975, 11, 0, 615
1760718120, meta, 30000, 30796, 12, 0, 2273
1760718124, meta, 30000, 30796, 11, 0, 976
1760718125, meta, 100000, 105902, 10, 0, 9246
1760718136, meta, 100000, 105902, 9, 0, 2437
1760718311, meta, 10, 28, 2, 0, 369
1760718313, meta, 10, 28, 2, 0, 334
1760718313, meta, 100, 28, 2, 0, 259
1760718316, meta, 100, 28, 2, 0, 413
1760718316, meta, 1000, 889, 3, 0, 372
1760718318, meta, 1000, 889, 3, 0, 298
1760718319, meta, 3000, 2714, 3, 0, 500
1760718321, meta, 3000, 2714, 3, 0, 463
1760718322, meta, 10000, 9975, 11, 0, 924
1760718325, meta, 10000, 9975, 11, 0, 640
1760718325, meta, 30000, 30796, 11, 0, 2368
1760718330, meta, 30000, 30796, 11, 0, 2364
1760718332, meta, 100000, 105903, 12, 0, 9464
1760718343, meta, 100000, 105903, 364, 0, 14709
1760718523, meta, 10, 28, 2, 0, 478
1760718525, meta, 10, 28, 2, 0, 354
1760718525, meta, 100, 28, 2, 0, 369
1760718528, meta, 100, 28, 2, 0, 264
1760718528, meta, 1000, 889, 2, 0, 365
1760718530, meta, 1000, 889, 3, 0, 390
1760718531, meta, 3000, 2714, 3, 0, 484
1760718533, meta, 3000, 2714, 2, 0, 420
1760718534, meta, 10000, 9975, 11, 0, 1044
1760718537, meta, 10000, 9975, 11, 0, 974
1760718538, meta, 30000, 30796, 12, 0, 2263
1760718542, meta, 30000, 30796, 13, 0, 977
1760718543, meta, 100000, 105905, 448, 0, 16204
1760718561, meta, 100000, 105905, 9, 0, 2196
1760718736, meta, 10, 28, 2, 0, 352
1760718738, meta, 10, 28, 2, 0, 371
1760718738, meta, 100, 28, 2, 0, 290
1760718741, meta, 100, 28, 2, 0, 326
1760718741, meta, 1000, 889, 3, 0, 322
